# id	slug	title	featured_media	link
23829	1015-baikal	PK-1015 Baikal	30863	https://patex.com.pk/product/1015-baikal/
23828	1014-blue	PK-1089 Ocean Blue	30887	https://patex.com.pk/product/1014-blue/
23827	1003-deep-black	PK-1003 Deep Black	30862	https://patex.com.pk/product/1003-deep-black/
23826	1001-a-egg-white	PK-1001-A Egg White	30861	https://patex.com.pk/product/1001-a-egg-white/
23825	1001-brilliant-white	PK-1001 Brilliant White	30860	https://patex.com.pk/product/1001-brilliant-white/
23711	2053-noce-sondrio	PK-2053 Noce Sondrio	30919	https://patex.com.pk/product/2053-noce-sondrio/
21148	6084-smoky-brown	PK-6084 Smoky Brown	30954	https://patex.com.pk/product/6084-smoky-brown/
21134	6064-brown-blocks	PK-6064 Brown Blocks	30780	https://patex.com.pk/product/6064-brown-blocks/
21120	6056-fumed-oak	PK-6056 Fumed Oak	30946	https://patex.com.pk/product/6056-fumed-oak/
21106	6051-albeno-oak	PK-6051 Albeno Oak	30944	https://patex.com.pk/product/6051-albeno-oak/
21092	6028-osaka-sun	PK-6028 Osaka Sun	30933	https://patex.com.pk/product/6028-osaka-sun/
21078	6021-fancy-block	PK-6021 Fancy Block	30776	https://patex.com.pk/product/6021-fancy-block/
21036	5511-flower-bilbao	PK-5511 Flower Bilbao	30747	https://patex.com.pk/product/5511-flower-bilbao/
21008	5508-white-circles	PK-5508 White Circles	30744	https://patex.com.pk/product/5508-white-circles/
20602	5408-silver-grid-a	PK-5408 Silver Grid-A	30712	https://patex.com.pk/product/5408-silver-grid-a/
